Tests,Points,OutOf,Notes
test_clear,0,3,Server sent response header with an incorrect response code to the client.
test_evict,3,3,
test_multiple_put_and_gets,3,3,
test_one_thread_two_gets,3,3,
test_single_put_and_get,3,3,
test_two_threads_two_gets,3,3,
test_large_requests,3,3,
test_stress_test,0,3,[Errno 104] Connection reset by peer
test_invalid_request,0,3,Server sent response header with an incorrect response code to the client.
Total,18,27,
